,skill_consistency,skill_audacity,skill_unpredictability,skill_clutch,skill_chase_iq,skill_pace_killer,skill_spin_killer,skill_hard_hitting
DJ Hooda,0.7581560523854923,0.19084913437757625,1.8905032109889828,140.3225806451613,114.59074733096087,127.52976190476191,121.900826446281,8.34295136026381
DJ Hussey,0.8941516207909354,0.20027247956403268,1.855328732031812,172.0496894409938,125.10729613733906,120.35541195476576,113.55498721227622,8.719346049046322
DJ Jacobs,0.8756927805441139,0.22277227722772278,1.5766091529988848,0.0,100.0,76.36363636363637,105.55555555555556,7.9207920792079225
DJ Malan,0.0,0.09615384615384616,1.6912539120823422,0.0,0.0,140.0,75.0,5.384615384615385
DJ Mitchell,1.0818415941098907,0.18795620437956204,1.8714108281131554,122.58064516129032,142.85714285714286,122.92993630573248,143.75,7.737226277372263
DJ Muthuswami,0.0,0.0,0.0,33.33333333333333,0.0,0.0,50.0,0.0
DJ Thornely,0.0,0.09259259259259259,1.342096606285297,0.0,16.666666666666664,75.75757575757575,85.71428571428571,5.185185185185185
DJ Willey,0.9077734043558984,0.109375,1.5741304248815275,123.52941176470588,79.03225806451613,90.9090909090909,60.0,0.0
DJG Sammy,0.8624528827554108,0.19123505976095617,1.8443540312991,147.36842105263156,119.04761904761905,140.3225806451613,86.40776699029125,9.56175298804781
DJM Short,0.7630051047579666,0.25980392156862747,1.7506470928607123,0.0,154.83870967741936,133.33333333333331,100.0,9.215686274509805
DL Chahar,0.45776775732602865,0.25,1.9590082773969848,112.5,145.2830188679245,149.01960784313727,117.14285714285715,11.627906976744185
DL Vettori,0.6187847824217185,0.13559322033898305,1.6885623468155686,115.09433962264151,105.08474576271188,112.19512195121952,75.75757575757575,5.423728813559322
DM Bravo,0.0,0.2,0.0,120.0,120.0,120.0,0.0,0.0
DNT Zoysa,0.0,0.1111111111111111,0.0,125.0,142.85714285714286,25.0,100.0,0.0
DP Conway,0.9650119241420355,0.2884130982367758,1.935717012750083,152.08333333333331,124.23208191126281,133.72641509433961,141.99288256227757,10.17632241813602
DP Nannes,0.0,0.0,0.8904916402194913,20.0,30.76923076923077,50.0,22.22222222222222,0.0
DP Vijaykumar,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
DPMD Jayawardene,0.8703096142086476,0.22207621550591328,1.8571927916815631,169.1891891891892,121.16279069767441,116.43990929705214,122.6530612244898,7.884362680683313
DR Martyn,0.0,0.038461538461538464,1.1687997226410385,133.33333333333331,0.0,73.33333333333333,50.0,0.0
DR Sams,0.5357763188643635,0.11458333333333333,1.6626856448328577,120.0,76.31578947368422,67.64705882352942,150.0,7.083333333333333
DR Shorey,0.0,0.075,1.1883763717345073,0.0,65.0,88.88888888888889,45.45454545454545,3.0
DR Smith,0.8992312329127686,0.3386023294509151,1.9072085978477833,149.35064935064935,143.9820022497188,126.26050420168067,146.20886981402003,11.924570160843038
DS Kulkarni,0.7195778584476269,0.10619469026548672,1.7318808803092156,101.04166666666667,87.77777777777777,83.56164383561644,112.12121212121211,4.2477876106194685
DS Lehmann,0.0,0.15789473684210525,1.432983121056005,0.0,100.0,76.47058823529412,250.0,0.0
DS Rathi,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
DT Christian,0.759487272155061,0.15808823529411764,1.792539606092857,133.84615384615384,112.71186440677967,122.67206477732793,97.82608695652173,6.911764705882353
DT Patil,0.0,0.07692307692307693,1.760495029766198,0.0,75.0,0.0,125.0,0.0
DW Steyn,0.620777261946834,0.12576687116564417,1.8212565989298457,112.85714285714286,80.85106382978722,115.83333333333334,81.48148148148148,5.276073619631902
Dhruv Jurel,0.782495755195724,0.30153508771929827,1.9581793770900338,174.61928934010152,150.47923322683704,164.2570281124498,132.77777777777777,12.80701754385965
E Lewis,0.8905610495967207,0.2865731462925852,1.8900145944548221,133.33333333333331,123.69942196531791,132.0689655172414,131.06796116504856,12.18436873747495
EJG Morgan,0.8321105849090698,0.22734970364098223,1.8792362072164737,159.68379446640319,115.83476764199656,121.33333333333334,111.06194690265487,9.212531752751906
ER Dwivedi,0.0,0.43333333333333335,1.7967916319816366,211.11111111111111,0.0,200.0,250.0,18.666666666666668
F Behardien,0.0,0.15384615384615385,1.4604846813131116,116.66666666666667,112.5,116.66666666666667,0.0,0.0
F du Plessis,0.9955660192290448,0.25284327323162276,1.9326407419736522,189.0909090909091,134.23913043478262,142.95065458207452,118.52646638054362,9.70873786407767
FA Allen,0.0,0.05263157894736842,1.4832261969709113,57.14285714285714,100.0,50.0,114.28571428571428,0.0
FH Edwards,0.0,0.0,0.0,80.0,0.0,0.0,100.0,0.0
FY Fazal,0.8781270367006231,0.1424581005586592,1.64906755990025,120.0,61.111111111111114,97.24770642201835,104.54545454545455,5.4748603351955305
Fazalhaq Farooqi,0.0,0.0,0.9182958340544896,33.33333333333333,33.33333333333333,50.0,28.57142857142857,0.0
G Coetzee,0.6868219485476458,0.19696969696969696,1.495533579025972,100.0,123.80952380952381,100.0,50.0,8.484848484848486
G Gambhir,0.9045331203211145,0.19750283768444948,1.8594323443445813,135.43307086614175,116.2570888468809,114.90713587487782,124.35233160621762,7.258796821793416
GB Hogg,0.0,0.045454545454545456,1.4179493739444216,100.0,100.0,85.71428571428571,125.0,0.0
GC Smith,0.8052292979506922,0.20549927641099855,1.762922107045533,150.0,92.73182957393483,100.72115384615385,122.77227722772277,6.743849493487699
GC Viljoen,0.0,0.0,0.0,42.857142857142854,0.0,42.857142857142854,0.0,0.0
GD McGrath,0.0,0.2,0.0,0.0,80.0,80.0,0.0,0.0
GD Phillips,0.7542901070952458,0.45454545454545453,1.725481571458039,214.28571428571428,166.66666666666669,71.7948717948718,246.66666666666669,13.090909090909092
GH Vihari,0.7004900535469758,0.0770392749244713,1.6328365580437818,103.77358490566037,89.5,92.09039548022598,86.5546218487395,3.0815709969788525
GHS Garton,0.0,0.0,0.0,50.0,66.66666666666666,50.0,0.0,0.0
GJ Bailey,0.9093177870870994,0.22644927536231885,1.8786083763073327,181.64556962025316,102.07468879668049,138.59060402684565,96.38009049773756,7.717391304347826
GJ Maxwell,0.7140135916298902,0.3633966244725738,2.0202589810869167,175.59055118110237,151.7601043024772,145.03816793893128,155.74516496018202,13.512658227848101
GR Napier,0.0,0.0625,1.7489992230622806,0.0,0.0,100.0,92.85714285714286,0.0
Gulbadin Naib,0.0,0.16666666666666666,1.4716022614097979,100.0,0.0,50.0,177.77777777777777,9.333333333333334
Gurkeerat Singh,0.8369398999970729,0.20871559633027523,1.8128474416077718,154.6153846153846,112.44239631336406,119.50207468879668,116.14906832298138,7.568807339449542
H Das,0.0,0.0,0.0,40.0,40.0,33.33333333333333,0.0,0.0
H Klaasen,1.05774510624074,0.3743109151047409,2.013378245213066,200.0,150.609756097561,154.5662100456621,170.29177718832892,14.134509371554577
HC Brook,0.5571597147835542,0.2578616352201258,1.8644295233796444,131.8181818181818,70.0,122.77227722772277,108.88888888888889,8.30188679245283
HE van der Dussen,0.0,0.08,1.692878689342031,120.0,54.54545454545454,100.0,25.0,0.0
HF Gurney,0.0,0.0,0.0,20.0,0.0,50.0,0.0,0.0
HH Gibbs,0.9241312070051508,0.1875746714456392,1.8035837843918594,169.44444444444443,99.51923076923077,108.17757009345794,96.03399433427762,7.6702508960573486
HH Pandya,0.8773769666768376,0.33741080530071355,1.9602309197231322,173.56643356643357,139.24665856622113,146.4926590538336,133.75,11.865443425076453
HM Amla,0.8224554372868272,0.2583732057416268,1.9233377695052045,202.5,114.3939393939394,144.27480916030535,124.28571428571429,10.76555023923445
HR Shokeen,0.9743436700820357,0.13432835820895522,1.6923200363683122,105.88235294117648,78.26086956521739,86.48648648648648,113.33333333333333,0.0
HV Patel,0.5970683054783017,0.1825726141078838,1.7871099939703954,126.57342657342659,111.50442477876106,121.55688622754491,98.36065573770492,8.87966804979253
Harbhajan Singh,0.6156836806516243,0.30424528301886794,1.9047799856038579,148.97435897435898,119.5046439628483,147.58620689655174,102.4390243902439,11.572327044025158
Harmeet Singh,0.0,0.3333333333333333,1.8879185026711327,150.0,66.66666666666666,175.0,100.0,0.0
Harpreet Brar,0.7807240011634576,0.1985981308411215,1.8493447239756275,129.2857142857143,103.2258064516129,108.46153846153845,121.875,8.224299065420562
Harpreet Singh,1.0142309922155655,0.40756302521008403,1.7501477366329223,88.88888888888889,103.77358490566037,113.43283582089552,92.6829268292683,5.882352941176471
Harshit Rana,0.4306389722389565,0.19298245614035087,1.7872063049323454,84.84848484848484,125.0,73.33333333333333,180.0,8.771929824561402
I Malhotra,0.0,0.25,0.0,175.0,0.0,175.0,0.0,0.0
I Sharma,0.5979200277910629,0.11971830985915492,1.5733034712356335,80.0,60.97560975609756,55.88235294117647,104.76190476190477,5.070422535211268
I Udana,0.0,0.22727272727272727,1.6767370300521325,136.36363636363635,33.33333333333333,136.36363636363635,0.0,12.727272727272728
IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IK Pathan,0.8361073293243029,0.1802030456852792,1.8632887706643306,148.1578947368421,120.45929018789143,126.78571428571428,103.51906158357771,7.431472081218274
IR Jaggi,0.7916076450630994,0.07,1.5985521100623918,85.71428571428571,47.05882352941176,90.19607843137256,60.416666666666664,0.0
IS Sodhi,0.0,0.0,0.964078764808229,28.57142857142857,0.0,44.44444444444444,33.33333333333333,0.0
Imran Tahir,0.7749313907744253,0.16216216216216217,1.5776254908783667,107.40740740740742,68.42105263157895,80.76923076923077,109.09090909090908,0.0
Iqbal Abdulla,0.5179436139882345,0.18023255813953487,1.7387050259609056,113.46153846153845,109.72222222222223,101.53846153846153,94.11764705882352,5.348837209302325
Ishan Kishan,0.8951593889670705,0.29772016092981674,1.9074415696036506,190.44117647058823,136.0759493670886,135.4471544715447,129.40516273849607,11.13991953509164
J Arunkumar,0.0,0.25,1.2364405016961446,0.0,104.76190476190477,95.83333333333334,0.0,0.0
J Botha,0.8046048451746576,0.1662087912087912,1.8667834376354198,137.75510204081633,116.30901287553648,108.33333333333333,118.79194630872483,5.65934065934066
J Fraser-McGurk,0.776256291978923,1.3620689655172413,2.000495102191242,0.0,175.4237288135593,195.2755905511811,206.77966101694915,22.463054187192117
J Overton,0.0,0.35714285714285715,0.0,214.28571428571428,275.0,214.28571428571428,0.0,20.0
J Suchith,0.5466285652009216,0.28225806451612906,1.8551693607877717,170.37037037037038,113.20754716981132,114.70588235294117,114.99999999999999,8.709677419354838
